"2024-10-17 23:06:53 -0700","HKQuantityTypeIdentifierHeartRate","count/min","100"
"2024-10-17 23:09:10 -0700","HKQuantityTypeIdentifierHeartRate","count/min","97"
"2024-10-17 23:11:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:14:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","102"
"2024-10-17 23:02:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","93"
"2024-10-17 23:16:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:16:32 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:16:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:16:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:16:48 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-10-17 23:16:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-10-17 23:16:59 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:17:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:17:09 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-10-17 23:17:14 -0700","HKQuantityTypeIdentifierHeartRate","count/min","94"
"2024-10-17 23:17:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","94"
"2024-10-17 23:17:21 -0700","HKQuantityTypeIdentifierHeartRate","count/min","97"
"2024-10-17 23:17:28 -0700","HKQuantityTypeIdentifierHeartRate","count/min","100"
"2024-10-17 23:17:33 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-10-17 23:17:38 -0700","HKQuantityTypeIdentifierHeartRate","count/min","101"
"2024-10-17 23:17:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","100"
"2024-10-17 23:17:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-10-17 23:17:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-10-17 23:19:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","102"
"2024-10-17 23:19:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","101"
"2024-10-17 23:19:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","101"
"2024-10-17 23:19:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:20:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","102"
"2024-10-17 23:20:05 -0700","HKQuantityTypeIdentifierHeartRate","count/min","102"
"2024-10-17 23:20:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","102"
"2024-10-17 23:20:15 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-10-17 23:20:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-10-17 23:20:22 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-10-17 23:20:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","97"
"2024-10-17 23:20:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","101"
"2024-10-17 23:20:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","104"
"2024-10-17 23:20:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-10-17 23:20:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-10-17 23:20:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","104"
"2024-10-17 23:21:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:21:05 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:21:10 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:21:15 -0700","HKQuantityTypeIdentifierHeartRate","count/min","104"
"2024-10-17 23:21:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-10-17 23:21:24 -0700","HKQuantityTypeIdentifierHeartRate","count/min","100"
"2024-10-17 23:21:29 -0700","HKQuantityTypeIdentifierHeartRate","count/min","101"
"2024-10-17 23:21:32 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-10-17 23:21:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:21:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:21:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:21:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:21:59 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:22:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-10-17 23:22:10 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:22:12 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:22:19 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:22:22 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:22:29 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:22:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:22:38 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:22:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:22:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:22:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:22:58 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:23:05 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:23:09 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:23:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:23:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:23:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","104"
"2024-10-17 23:23:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-10-17 23:23:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","102"
"2024-10-17 23:23:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:23:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:23:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:23:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:24:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:24:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:24:09 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:24:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:24:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:24:23 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:24:28 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:24:33 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:24:38 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:24:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:24:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:24:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:24:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:25:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:25:10 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:25:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:25:19 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:25:21 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:25:28 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:25:33 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:25:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:25:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:25:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:25:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:26:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:26:05 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:26:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:26:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:26:19 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:26:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:26:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:26:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:26:38 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:26:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:26:48 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:26:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:26:58 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:27:05 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:27:10 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:27:15 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:27:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:27:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:27:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:27:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:27:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:27:43 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:27:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:27:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:27:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:28:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:28:10 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:28:14 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:28:19 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:28:23 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:28:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-10-17 23:28:32 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:28:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:28:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:28:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:28:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:29:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:29:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:29:07 -0700","HKQuantityTypeIdentifierHeartRate","count/min","118"
"2024-10-17 23:29:15 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:29:19 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:29:24 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:29:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:29:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:29:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","119"
"2024-10-17 23:29:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:29:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:29:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:29:57 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:30:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:30:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:30:15 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:30:18 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:30:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:30:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:30:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:30:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:30:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","118"
"2024-10-17 23:30:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:30:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:30:59 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:31:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:31:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:31:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","107"
"2024-10-17 23:31:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:31:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-10-17 23:31:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","97"
"2024-10-17 23:31:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:31:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:31:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:31:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:31:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:31:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:32:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:32:09 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:32:15 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:32:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:32:21 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:32:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:32:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:32:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:32:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:32:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:32:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:32:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:33:04 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:33:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:33:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:33:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:33:22 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:33:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:33:32 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:33:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:33:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:33:48 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:33:52 -0700","HKQuantityTypeIdentifierHeartRate","count/min","118"
"2024-10-17 23:34:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:34:02 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:34:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:34:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:34:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:34:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:34:27 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:34:33 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:34:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:34:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:34:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:34:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:34:59 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:35:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:35:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:35:12 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:35:18 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:35:23 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:35:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:35:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:35:37 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:35:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:35:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:35:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:35:57 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:36:05 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:36:07 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:36:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:36:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:36:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:36:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:36:32 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:36:37 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:36:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:36:48 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:36:52 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:36:57 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:37:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:37:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:37:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:37:21 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:37:22 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:37:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:37:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:37:37 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:37:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:37:52 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:37:53 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:38:02 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:38:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:38:12 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:38:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:38:18 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:38:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:38:32 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:38:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:38:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:38:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:38:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:38:57 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:39:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:39:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:39:09 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:39:14 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:39:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:39:27 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:39:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","104"
"2024-10-17 23:39:34 -0700","HKQuantityTypeIdentifierHeartRate","count/min","104"
"2024-10-17 23:39:39 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-10-17 23:39:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-10-17 23:39:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:39:53 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-10-17 23:40:02 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:40:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-10-17 23:40:12 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:40:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:40:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:40:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:40:28 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:40:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:40:38 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:40:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:40:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-10-17 23:40:57 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:41:02 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:41:04 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:41:09 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:41:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:41:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:41:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:41:32 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-10-17 23:41:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:41:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","120"
"2024-10-17 23:41:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","120"
"2024-10-17 23:41:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","120"
"2024-10-17 23:41:57 -0700","HKQuantityTypeIdentifierHeartRate","count/min","120"
"2024-10-17 23:41:59 -0700","HKQuantityTypeIdentifierHeartRate","count/min","120"
"2024-10-17 23:42:04 -0700","HKQuantityTypeIdentifierHeartRate","count/min","120"
"2024-10-17 23:42:09 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-10-17 23:42:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:42:22 -0700","HKQuantityTypeIdentifierHeartRate","count/min","120"
"2024-10-17 23:42:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","121"
"2024-10-17 23:42:32 -0700","HKQuantityTypeIdentifierHeartRate","count/min","122"
"2024-10-17 23:42:34 -0700","HKQuantityTypeIdentifierHeartRate","count/min","122"
"2024-10-17 23:42:38 -0700","HKQuantityTypeIdentifierHeartRate","count/min","123"
"2024-10-17 23:42:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-10-17 23:42:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","118"
"2024-10-17 23:42:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","118"
"2024-10-17 23:43:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:43:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:43:08 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:43:14 -0700","HKQuantityTypeIdentifierHeartRate","count/min","119"
"2024-10-17 23:43:22 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-10-17 23:43:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-10-17 23:43:28 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-10-17 23:43:37 -0700","HKQuantityTypeIdentifierHeartRate","count/min","118"
